epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.16911,1.11876,2.1148,1.14691,0.42623,0.7667,0.57904,0.34082,1.08292,1.19621,1.04467,0.00036372,0.00036372,0.00036372
2,16.8857,1.0111,1.0461,1.03778,0.66399,0.78531,0.78228,0.41885,1.18148,0.9786,1.0837,0.000726786,0.000726786,0.000726786
3,24.6825,1.02828,0.9449,1.04868,0.7264,0.87766,0.84906,0.45488,1.10871,0.99189,1.07068,0.00108252,0.00108252,0.00108252
4,32.3237,1.01906,0.8784,1.02221,0.75628,0.86456,0.90929,0.53671,1.06514,0.92145,1.02722,0.001078,0.001078,0.001078
5,40.0076,0.97365,0.83015,1.00509,0.75907,0.86704,0.89265,0.54724,1.00754,0.84908,0.98342,0.001067,0.001067,0.001067
6,47.9709,0.97159,0.79233,1.00235,0.76915,0.90532,0.90306,0.55639,0.97715,0.75109,0.9835,0.00105601,0.00105601,0.00105601
7,55.7762,0.96333,0.7623,0.99877,0.84336,0.92377,0.92049,0.57357,0.99511,0.68878,0.99342,0.00104501,0.00104501,0.00104501
8,63.6701,0.95712,0.73242,1.00044,0.82906,0.88191,0.91134,0.53242,0.99261,0.71095,0.99248,0.00103401,0.00103401,0.00103401
9,71.4854,0.92686,0.72005,0.98821,0.87431,0.88938,0.93865,0.57484,1.02151,0.68408,0.994,0.00102301,0.00102301,0.00102301
10,79.4627,0.94498,0.69088,0.98616,0.84502,0.89913,0.94439,0.57519,1.03941,0.68111,1.003,0.00101201,0.00101201,0.00101201
11,87.3303,0.94993,0.67123,0.98819,0.87973,0.95122,0.96715,0.61673,0.96963,0.63529,0.97419,0.00100101,0.00100101,0.00100101
12,95.2144,0.95005,0.70207,0.99231,0.9068,0.95306,0.96364,0.5542,1.00776,0.68305,0.9956,0.000990012,0.000990012,0.000990012
13,103.115,0.91585,0.66535,0.98078,0.89471,0.93814,0.96377,0.63063,0.9087,0.61835,0.94872,0.000979013,0.000979013,0.000979013
14,110.979,0.9063,0.64161,0.97853,0.9132,0.95606,0.9749,0.62243,0.96316,0.6009,0.97503,0.000968014,0.000968014,0.000968014
15,118.951,0.89837,0.6196,0.97191,0.91,0.91824,0.95606,0.59247,0.97152,0.61891,0.9728,0.000957015,0.000957015,0.000957015
16,126.828,0.8945,0.63185,0.97897,0.91304,0.93852,0.96353,0.62123,0.95198,0.58705,0.9664,0.000946016,0.000946016,0.000946016
17,134.689,0.89306,0.62107,0.97573,0.93341,0.95879,0.97173,0.63599,0.92215,0.56588,0.95215,0.000935018,0.000935018,0.000935018
18,142.484,0.89374,0.60248,0.9745,0.91799,0.96519,0.97825,0.64301,0.92116,0.55627,0.95189,0.000924019,0.000924019,0.000924019
19,150.387,0.88701,0.60071,0.96469,0.94608,0.9517,0.97926,0.64219,0.92095,0.57884,0.95491,0.00091302,0.00091302,0.00091302
20,158.267,0.8735,0.6051,0.973,0.94581,0.94502,0.97975,0.61983,0.98733,0.56998,0.97832,0.000902021,0.000902021,0.000902021
21,166.252,0.89611,0.59407,0.96244,0.94887,0.96283,0.97881,0.63315,0.92749,0.56106,0.95469,0.000891022,0.000891022,0.000891022
22,174.062,0.88253,0.59094,0.96643,0.92983,0.95768,0.96894,0.62062,0.91058,0.56694,0.95599,0.000880023,0.000880023,0.000880023
23,181.794,0.87047,0.57913,0.9643,0.94774,0.95267,0.9785,0.65561,0.91817,0.5357,0.95226,0.000869024,0.000869024,0.000869024
