epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6019,1.04303,1.41344,1.08362,0.84295,0.87609,0.9411,0.57568,1.04396,0.84155,1.03788,0.000301778,0.000301778,0.000301778
2,84.0066,0.99552,0.78957,1.03215,0.69229,0.80458,0.76843,0.47057,1.02219,0.8665,1.03032,0.000598791,0.000598791,0.000598791
3,137.5,0.97505,0.72903,1.01044,0.86012,0.93617,0.96563,0.65535,0.94016,0.66635,0.96946,0.000889804,0.000889804,0.000889804
4,175.625,0.96657,0.69033,1.0067,0.92519,0.9346,0.97272,0.66452,0.93162,0.63465,0.98108,0.000882003,0.000882003,0.000882003
5,207.928,0.95606,0.6538,1.00026,0.89362,0.95116,0.97351,0.6479,0.92008,0.62106,0.97214,0.000873004,0.000873004,0.000873004
6,244.03,0.92832,0.6378,0.98615,0.90922,0.94851,0.96486,0.68021,0.89121,0.59637,0.95387,0.000864004,0.000864004,0.000864004
7,281.257,0.91942,0.61988,0.98527,0.88376,0.96359,0.98086,0.71603,0.86776,0.57582,0.94578,0.000855005,0.000855005,0.000855005
8,317.358,0.90884,0.59389,0.9717,0.90206,0.97794,0.98038,0.71588,0.86294,0.53761,0.9425,0.000846006,0.000846006,0.000846006
9,353.922,0.90045,0.57484,0.97579,0.94199,0.97412,0.98534,0.7012,0.86412,0.5392,0.94404,0.000837007,0.000837007,0.000837007
10,391.576,0.89777,0.57847,0.97441,0.86216,0.97114,0.9725,0.70974,0.83048,0.55091,0.93331,0.000828008,0.000828008,0.000828008
11,423.417,0.88109,0.55967,0.97459,0.92922,0.97041,0.98942,0.73782,0.8314,0.48914,0.92907,0.000819009,0.000819009,0.000819009
12,455.503,0.88173,0.54919,0.97125,0.92369,0.97522,0.98962,0.70515,0.87769,0.49527,0.95504,0.00081001,0.00081001,0.00081001
13,487.168,0.87451,0.54164,0.96492,0.8757,0.96986,0.97728,0.72112,0.84324,0.48901,0.93457,0.000801011,0.000801011,0.000801011
14,519.053,0.86534,0.53086,0.96701,0.95288,0.97248,0.98998,0.73826,0.8506,0.46841,0.93519,0.000792012,0.000792012,0.000792012
15,550.826,0.86944,0.52175,0.95856,0.94744,0.97874,0.98827,0.73429,0.80406,0.46772,0.92137,0.000783013,0.000783013,0.000783013
16,590.126,0.8468,0.51663,0.9544,0.94905,0.97644,0.97977,0.72538,0.83171,0.48463,0.92512,0.000774013,0.000774013,0.000774013
17,625.483,0.84083,0.49669,0.95303,0.96098,0.97175,0.98782,0.74364,0.8298,0.44495,0.92725,0.000765014,0.000765014,0.000765014
18,663.279,0.84242,0.50136,0.94903,0.92729,0.97296,0.98449,0.7353,0.83273,0.44157,0.92425,0.000756015,0.000756015,0.000756015
